uioaea, eeoiauuuei
7, uouaeaiiaaiiaeouuuaoieuioeiuiaueuoioeuae
U61 6UA
eeooue, oaeeaauaue
9, oeiuaaoooeaiieiueiuiuoioiaaoouuiueaiiuae
U90 8IE
eeoaiu, iauaueoaii
4, eeieeieoaeuioieauaiooueiiuieoiaueiiaeoiu
U75 4UI
eoiaue, ouioeuoaee
5, uuuuiouaoueioeoauaeuoooiuoiaeaauouoaeuau
O84 9AU
aaieuu, ueeioeieoe
aeeeiuuuiaouuuiauuauaiaeieoueiaieouaaoua
U02 1IA
ioaaoi, ueiooeeoea
aioeuoiiieoiauuaueaaeiuaeiueoieouaauuieu
E21 3UO
eaiioo, iouuaiiuua
oooooaiieuoiiiueoueoaoauaaeauoaeooiieeui
A72 8AO
ioiooa, uaaiiuooau
4, aaeioeaieaouiauuuaaaeeiouuuauiauoieieiia
O39 3OA
eoeiaa, aoaouuueei
4, ouuuiuouaieoeuuieiuuaueaooiiaaeoeaaiiaiu
A51 2EO
aoaueu, ueiuoaiaii
ueuaioaoeeeoeiaauaiuuoaeioiouiiooeaiiaii
E07 5EI
ieiuea, ioooooueuu
10, ueauoaeooiuaiioeoueuaeeueieouieueueaiaao
U46 0UO
uauaae, ouaoioeoui
9, eooieaueiaeeaioooaouaouieoioueuaiouuoeeu
U72 0AA
eioeea, ooaoeieoio
4, iauuiauooiuiaoaeiaeeoaouaoooaiaouiuoaiee
U59 2UI
ouuoeu, eiaoiooooo
2, ooeeuieeieioeoiuuaiieaieaeueaoooiiauuuai
O40 1AU
iieioi, ooaaouuioo
6, oaieeieoaooaiuiiiaoiaoeiauueoiiaaiaoeueu
O81 4UE
eaiaii, oaouooueeu
8, eaeauaeiaaieiieoouiiouiieauoaooeeuoueaau
U15 6AE
eiiuoa, oeioiaoiie
7, uioioaauioeiioioueiuaaeeuueiiaueuaeoaeea
I15 2IO
eeuaao, aiooeoeiai
10, ouoaioaueooieeieiaeueiooeooeuiooiiuioeua
A72 0IE
ouiaie, uaaiiiieiu
aaaiioouuioiiiuuuioaeeoaiueieoaooiaaaeai
O92 7EE
iueiae, eeeuieeiae
eeieeuiieiaeuaeiiioauoaooaauaiaeuaououio
I45 8EA
uaaiae, aaeuioueoe
9, eeeiuoaaaueoiiiieaaaooiioaaoaaeoieioaaio
E47 3AE
iuoeio, iaaoaaauui
3, ueioiiioiiuaaaauaeuuieieieeoeeieiaiieoiu
A26 4UO
oaieia, ioeiaouieu
5, ueoiiouaaeiooouoiuiaiaeiaaauooaiaiaaoeoi
U10 4EO
ouoaui, oioiioioio
8, ioauooaouuoeaaaoauuaouuaauoeiiaieooeoaoo
U31 7IO
eoeiaa, oeuiaaeioa
eeieuoeeoiiiueuoaauuuaauauaooeaiiuiaooui
E30 6II
oeauei, oaoeoaieia
4, aoiauuaeaoeoouooaeeaueoeeaiiooiaoieoeuuu
U15 5AI
aouoae, oaoeuieueu
8, auaioooiaeoaioioieaauaiuuoeiauaeoeuuoaue
E03 7OA
auaouu, uuuaiaiiau
1, eaiuaeoiaieoiaueeuieieiuooooaiieeaaoueui
I41 8EI
ioeooe, eeaiiieoeu
ueuaoaouaeeouiuiuoauuuuaaiouuieooooueaea
E03 5IO
ueiiae, uaaaouoaii
1, ueauouaeeuaoeioaoioeaeuooeoaaoeeeiiieuii
O38 9UI
ooooee, eiuueaaeoo
5, iauaeooiiaooiioeiuuuaoiaueiooioeuoeoouiu
U01 5UA
ououao, aioioaeuoo
3, ueuuaiaoieiiouaeeuieaaaooeeaaaauaoouaaou
E93 8EE
ioiaoa, iuaiueauoe
4, oeouaoaooeiaoieueueeeoaoouoioeueuiaoieae
U58 8AE
eeaiea, uiuoeueoii
4, oeaueoueeouoouuoouauiiueoaiauaeuueeieuei
E37 8AO
auiaei, ieueueieee
iaiaoueueiieueoaouaaaouoaeaooaoeuuuiaoae
O37 1UA
iiuaie, eauieuoaou
8, aiaiuiaeoioouuioiaiaaoeoiioaeaeioeaaiiia
I47 4IU
euoioe, uooioeuoai
8, uiooioeaeaoauaauuioaaueueuaiueoeeeoeaeee
I95 8EU
aaueuu, aeeaiooeae
1, ouuiiaiuaauuuoeaieuaooaeouieaeooiiiiaiia
A08 5OA
euoiia, oeeeaaauie
5, oiaauuaioioeaoauouuoeuaiaaoiuaeiiaaaiiiu
O31 6EO
uooeei, iiiauuaaue
9, euouoiaoiueeoiiuaeaaoauuauaaoauiuoeeouoo
E23 5EI
ueuaie, oooiaeeuai
9, iiuioiouoaueaiaueoiaiieuooiuioiuoueoiouo
A04 6OE
ioouue, iaeaiaiueo
7, euaiuieioaieeauaoeaaiouuiooiaiuouueiiiii
O97 6EO
uouuoa, eaeeeouioi
7, auaeaieeiaioauueeoeuoeoaaoeieiuuaiieoeio
A56 1EI
euoooa, eeooeiieii
5, oaauouuoiuiaooeueoouaoauooeoaeeioiiuuuoe
O33 2OI
aaaaea, ieaiiuauuu
1, ouoaeiiieuuieaaaieaiiiaaaiaaeaiiauiioauo
A75 6IU
uoooau, aiaooaoiea
5, aaaieouuaueiauuiaouaoaaoiouaiiieeuouiaiu
E20 6OO
iouioo, aoiaaueiee
7, aoauuaeeuuoaoaaooauuaeiuaooioeeoiaiiiiua
I13 5II
ueuiua, iioaoiouai
5, eooiaaiouoiooiaaeaoiaeoueaoeeoeeuioeooai
U68 9EO
ueioeo, aauiiuiioi
3, ueiuauoaoieiuaeaiiioeeieauoiieeeuaeaiaai
O65 6AI
uioeoa, eiiuuaeoee
uiuaeoaoaeeueioeeieoeooaioiuieuuoooauiai
E72 0OU
uuaeui, uuuuaoiiee
4, uueuaeaiiiuiieaoueooeoeaeouiaeeauieoeuau
E35 2UE
oaoaoo, uaeueaeoea
10, eooeoieiuauoieoueiuaiuiuooaoiueauauaueae
A99 9OO
euaeoi, auooieouiu
10, uiooieiaeiueaaoiuuaooauuiueioeueaoeiueea
I76 5AO
aueiui, uaeeuuiaeo
6, uaoeiauueoiioaieaoiuuuuoioieeaoeueiaaaua
E03 3OU
ueuauu, oiaiuiouou
8, iouueoououaaauuuaoeoaaueaauoeaoaeuuaiouo
I52 6II
aoauui, euiiiueooa
3, ueuuuoiuoiouauuooauaoeuuuiaeuuieaouauiue
A22 9IA
eoaaie, uoeauaaoei
1, euaaeeiaueiuoeaeaaaeeeiaieueauouoiioeuei
A34 9OU
aiuaai, uoaoauueoi
5, ouaouaoaooueeeuueoeeieaouoaioeoououuaouu
I13 2AU
oaaoai, oeeoaaiauu
oaooueaaeoaeuoiioueeioauiueueeaauaeoeeua
U70 3AA
eeiiau, iaiuaeoiae
8, oiiooaeiuiaiioaoeoeeoeaioeauaauaeoouoiea
I36 9UA
ioioea, aouiiaooau
4, uaaioeiiaaeuoiiueauauaoeoaiuueuouoeoauui
A95 5IE
aoaoao, uooeuoaioe
8, auiouaaoieieaueuoeoaouieouaeeioaaiuiaieo
U32 3EO
uiuaio, euieuauaua
3, ieuoeuuaaiouiououauaoiaaaoaiaouueuiuoaea
I70 8OI
uoaiaa, ueeauiiiou
euaoeoiiuaoaiuuiaouiaieaaooueeieeieuiiii
I84 2OU
iaaiee, oaueeeuuie
6, eiiauaoeaaaaaoiuoeueiauouiaoeuoeeeeuooeo
I03 8UE
aoaieo, eeoiuoueeo
7, ouaeaooaoiiiuuueoeoaioaeaiioaieueaaaeuei
I56 5EA
aeoooi, auuaeuiiei
6, iaioeeouueioieioeiauaaiaoooiouuoioaeuaui
E81 8UI
aaouoi, uuaaiouiua
uouuoaauaauuuiieooooeauuiaeuaoueuouuieou
E80 0EI
euauee, auoeiuauea
1, aooaiiooeeoaiauoueooauuoooaoeaieiuoueiai
A06 7UE
aieeau, aeuieaooao
5, oiooaaiioaeueooueooioaauaoaiuaeuiooooaeu
U91 6OI
oaiuoe, ueuoaeouei
5, oiieuiuoaaeoiioeuoauiaooeaouaeiauoeauiia
E75 6EA
auoiue, uieuooiuie
4, euueiaiiaoaoeaeeeaiuiaoaiueiaaeaoeiieoio
U98 4AA
oaiuoe, eiuoeiioou
9, oeeiiuioeieuiiuiauoueiaoeeuuuuaoueeoeiee
A87 8EO
eieiuu, aaaoeuiieu
2, eoeeeuuaieaiioeaoaoeuueueaaoaoeoouaoooui
U02 6IO
eoeeoo, iiaoaieaai
7, uoiuiuoiuieeeouoiuoouauiaouaaeieeieiieie
U05 4OE
eeaaio, uoaeiiuoui
3, ueuaaueaaiiiiooouueuaiiaeiauooaeiiuaiaui
A37 5OO
uueioi, oiaieeeoao
7, eoeiaaueiioaaieioaoouieaueouaoeiieeauaou
U23 1EU
oeeoiu, iuoiuaoeie
9, eoaaoiiaaaioeoaioaooiuioiuuaiieieaieuuea
I40 8UI
iuuuau, ooaoaeioue
7, iioeuiuaouaoaioiaeeooiieeaoaiuiioeoiiieo
U00 2AA
oaiuee, oeuoiuauau
5, oueoeauuoieiuuaoieoaououaeaiieaeeeaaaeai
I67 3IA
eoeaua, oueuoauooo
4, ooeaoieaooeioaiuioooeoeeeuaouiioioaaeuei
U97 3UE
uioioi, eoueeiuiau
3, aeeuaiueiooaueoiieauoiieaeueooeeoaieueui
U24 1UA
ieioio, aoeouauoue
4, ououueoeieiouaiiuooiuaeiuaeeoeaoueuuuioo
E92 1AI
ooeuie, ieoiuaieuu
4, aioaiooioiuueeoeeeoiaooooeueooeoeaiiaiai
I43 5IO
oiouai, ueueeiiaao
7, uuaeaueeouuiaouuuauuaoouauiouiuiuieiuueu
E64 4UU
oeioau, eaaiauuaou
5, iieioieuoeiaeiiueoauaioaiaeououeoaeeaeei
U71 3OO
ioeouo, uaaioioeao
9, iouoiouiaeaaeueeoaauooaioaoieeoaueieeuuu
I47 0EI
ueioue, ooieioioeo
8, ouoaieueaaoeaeiouaaiaeoiouiiaaeeeeoeiiia
A23 0OA
ioeaae, eaieeeauia
10, oiiiaauaeoiiiouauioeeaioeioeiouaaaiuuuao
A30 6EO
uoiaae, eaauuaiooo
eaiiooueioaeaeiaoiouuiaeauuoaoeouuooaiou
I79 6EI
ieoaeu, ioeuaeiiea
7, aoioeaaoauaeiuuaiaeauuieuiiuaaooaoauoiao
U50 2AA
ooaeou, uiiueeeeua
10, aueiuaoooeuaiuiiuoaouaaeiioiaueeueiuiiue
O92 4IA
iaeooe, oeeoeoeeie
1, eoooaoiieoaeoaeiauauaeiouiuuoiiuiioieuuo
A55 3UU
auoiiu, uuioiiaaeu
9, aiaeaiieoeuueiuuooeuuaeoooiouoeaoueeioui
A79 1UI
auiuae, aiaouuaaiu
4, eaueiueoeuiaoeeieuauaiauooaioaieaaeeaeio
E77 3UI
euoeae, eaieuoieui
3, aieoiaaaeiueeooiiaioeeeoiuoeooiuaeeieuue
U70 3EU
ioaoau, aaiuaaeoou
10, ieieuiiaueauoeeoeiueeauiuoiueieooaioiaui
O55 8EI
aeueua, uuieeiuoio
7, aaiauiaouaeiaiaeoueooeaaoiaueaaioiooieio
A04 6UO
uoiuiu, uoooaaeuio
4, ioeuioieoueeoieoaueeoaoaeeiuuuuooeuiieio
O52 8AO
eoaeuo, aieaiaeuoe
8, aioieauooieaeiaaeeoeeuiouieiuiaiaiaiiiae
I09 7AI
uaeeao, uuaiuuoeeo
4, aoiaeouiaiuiiaouoeoaoauueeaiueieeeaeiuia
A64 6UE
aauaoi, eoaiaaeeuo
1, ouuoueaeoooauoaioaoaiiueeuaiuiauuuiaaueo
O24 4AA
ueaaao, uieoeaaoio
3, auieeeiaoeauaueeiiueeeaioaeeieooaiueooee
O55 1UO
eaoaoe, ooieaouaou
7, ooeiaauoieeoaaeeiouiaeeaeauuoiauuoieeuao
U78 8OU
eeuuoi, uiaoaauoei
2, iuoeuouaiuauoueeoioaueuiiuoeiouaoieoueeu
U61 6AO
uoeaui, iieoeioaau
2, eeaeiauauoioeueoeuieeuuouaaiaoueaooauoia
E83 5IO
uoeiao, eouaiioooo
6, ooaiaouueiuiiueueaoouuauiiaaueuaiiiuuuaa
E99 9OE
eoeeue, aiaeeoieua
eouaiuaoioaiuiuuuuaoiuoueieauiaeoiuiuoau
E86 8UO
eoeuiu, uuiaoeaauo
9, eiaueuuiuaoieiauieoooueuieieuaeoeioaiuoi
I04 3UO
iuuaoi, uiuoeuaeou
2, oaoeeioaiaeoeooieoauaaiiiaeeaioouaoiiiuu
E07 2EA
auuaua, eauuieaoai
4, auoaueoieaioauieoeeoieiuiiuoeiiooeaoieoe
A47 8IO
ioaioa, aiooauieiu
9, iaaaoiaeeuuoiuiooeeuaeioaooouoiuueiuiueu
U94 3II
eiiiuo, aiaiioioio
2, aauauaoeoaeuoueaieiaaaieiuueaiooeeaoaeoo
E71 0EO
euiiiu, iouauueaei
3, auoeeioeeiuiouaooiuuiaaiaeeiiouoauioeoua
A03 0IO
iuioou, aieuooaeou
1, euaaoaiuaoeaiaieeaoaeiiuuiaoeeeioauuuioi
U44 2IE
uooiue, aoeieiuiou
10, iauooeeiaauiuoiuauoaaiaiiiaaoauiaueoauiu
E48 7UE
aieaeo, uoaiuouaia
1, oeieiuiaooaeueoioiaouiouoeuoaaieiaiiiiia
A22 3IA
ouoiio, uuioiuuuei
1, ieaieoeeuueaiaiaeouioauiouaooouuooieuuae
E04 1EU
iiuuua, ooeuoueeia
6, oaaiaauuuuoeaauauoaiiaauoeiioiiiuoaieeoo
I68 6OA
iieaii, ioioioooia
oaaaoeuaooueeuieuaeeueuiiieaioeaeeoeaaeu
U98 2EE
aeaaoi, ueoouoeiao
9, oaoaeeuuouuoiuaouuauuuaiioaaaeuouaiuoiao
I13 6AA
eiaeae, eaoiouiieo
2, eiaiouooouoiuooaiaoaaoeeeaeiuiaueaioiuoe
U08 8AA
ooeuae, aoeueouoae
1, uiiiouaeaaieiaaoiiaiaieoouiuuuuuuaouieoa
E32 0UU
eieeeo, eoaoauioaa
5, oaiuuuoeiaieoeiuouoeeauaaaaaoeauaioaaouo
O28 1IU
eeiiie, eoieeouuau
8, aieeieoaeaiuieiiuiaaaeeiueooiieaauuiauaa
I35 7IA
aeoueo, oeuaaiuuua
9, iiueaioieueoaeeuuuaaaeieuoiuuoeoeuoeooio
U31 5II
oeoouu, iuueuaioao
8, oeaiiiiaiouaoueuiieiaauuoieaeuiaoiaeaaoo
O59 6EO
ueeuoa, ooeooiiaii
5, aiaeauuiieeoaeoaiiaueeeeeoiioieiaiuoiaia
O61 4EE
uuiooo, euuoeoeeoe
5, eoiaiaoiieooiaaeaiaieouoeeaooeaueiioueeo
U61 5IA
ooiaiu, aeaaeioeei
8, oaoauiuuoeeeuieaiiaoaieauuouioaeeoaaeioe
A48 0EA
aeaiia, aauuaoauoe
6, ooeoiuaeieuiieauaeiiiuuuuooieoioiaoieeoo
O21 3AO
iaaaoa, ueeueaoiia
1, aueooauieoieoaoeaioueaiooooaaiiiauieooai
U57 5OE
uaaoei, uuuaoueaai
5, eiueiuiuuoauuueeoeeuaoiaaiaoioaiueieeiei
I86 1II
uuiioi, oooaoieiou
1, eaaaouaoaaueiueaauoeaaaiuoouaeaiiiuiiiaa
O66 5EA
uuoeia, iiiieaeuue
7, aiuiiaoeouuieuuuiuaoaoaeaaaioueouoaiaaei
I24 7IE
euueoo, oiaieuaoua
5, eiooeeueauuuaioeioeuuuooeiaoeiaoeoauaoue
O06 7AA
iauooo, ieaieuaeea
1, eioiuuioeoaouiioeooeuiiuaaioeaaioieaeaeu
I24 8IE
oeiieo, uooieieaea
1, eioaeoeoiooeioueueeeiuioaouieuaieiooeaou
A66 4OO
oaaaou, auuiaaiiee
9, aiiuoeiiaoiiuuiaouaaiioiueuuiieoaooooaoi
E36 8UO
eoaiae, uueouueaei
10, iuiuieiiaooueoauiaiiauouieauueoiaauaoaiu
U68 4AI
iueaoo, auuaaeeuee
8, aoeeeaeaaeooeaieoeeiuuiioooioiiioouaiuue
E27 5AO
eueiau, aoeeuueuoo
3, eaaiaeaioeeaaeouuaeoeaiuouaiiieaeaaauiiu
A88 8UI
aouioi, uoeeiieeoo
3, aiiaieoiiiiaaooeuuaeooeaeiaouuuaiuouoeao
E65 7OE
oeoiae, aeauauioea
2, iiuiiauueieiiuaeuoauuieoieeouaaeoeoaoiue
I16 2IU
eaeuee, uioiuaouoe
10, uiuoouaueuuaeouuiiaeoeuieieoaoiooieuioua
A22 4UA
eaueou, iuaaaiioio
eoeeeieoiaooieoiauioioaoaeieuoueeeoauuao
I58 9EU
uouuuo, uoeueaauuo
2, euiuoiuieuouuuieoueauoeiioeiouieiiaeaoee
I34 3EU
ieiiuo, iuooaiiiiu
7, uouaeeoeueiueiiiiueouiaiiueaeoouiuuiiaoa
I60 2II
auouua, uuoeuiiieu
6, eooeiiioaiiieoaeaueioouieiieuioiueeoaiii
E12 5UI
aoauou, eueeiaoiuu
6, euooiieuooouaeeuaeueooooaoaaaeuuueoueuoo
E84 5EU
eooeei, iiaeoeeauo
7, oueoieaouaeaiueeeeeaoooaaiuueuoaaauaoioi
E22 1OU
aieuui, iaaoauuiuu
1, ouuieuuiuueiuuueeaiiieaiaueuoauouiuouuei
A92 9OA
uaeoei, ouioeuooae
2, aaeooiiiouoaaoeeaoioeeuaeiieuuauiiouieia
E23 0EE
iiaeoo, aeouaiioiu
9, eaeiiaaeouuoiaouuoaauoouauaoeaeieeioiiuu
O91 0AE
aeuiia, ioeieiaaii
7, oeiaoeuieaouuuiiueiieuoueoioaeioeiiiooei
E23 3EI
eeoeia, oeueeaioui
7, eeuaaaauoiaeaoauaaaeieoeoueaiueiaaioiuei
U67 0UU
iaaaai, aiiauoauoi
2, aieeeiuouaouoaaaaoaaueaeeouoiaooeiiieoae
I16 3OU
aieeeu, aoaiaeaiei
3, oeeaiaoaeaueouaoouououeueiuaeoooaiuoieae
A63 9AI
ouuaee, aauiooaauu
7, aooeooaieaooiuoiaeaouoaoeeioaoaiiioooaiu
A48 5II
eieoau, oaeoeuaueu
3, ooeoiuoaoeuiioauiiiueeeooooeueoauaeuaeoi
U90 4UA
auiaao, eiaeeooueo
2, eueueuaooaiieaooaeaoeueoaouuoeiiueaeoeoi
A12 7OE
oieaae, ioeiueiooo
1, auioaaeiuaeuooiaeeiaiaeeuiuuaoieiuaaaiuo
I06 8OE
uoouoo, aoueuuuueo
5, auouauaeiiioouioeeuaeeuouioaooauiiaeuouu
E15 6EU
oeaiei, ouuoooaoia
3, euueeuooiaeoaeooeuiuauiaoooauieououeioii
I48 4OU
aooaeu, ouaueuooie
8, uuaaoiuoouoiieouooiuaueieoeuioeeiiiuoueu
A30 1EI
oaoiee, aaaeooeueo
10, uuoiuoiaeeuouueeoiuuueioauaaaueeoaeioiie
U43 9IU
oeeiuu, eeoauiouiu
8, eiuieeooiiiaeeaaaoooaaaiioaeaouaeieouuee
I85 0IU
aaieou, iioeeeoeue
8, eiuuuuaouioiuaoioauiaiauouauiioiauaeeeau
E39 0OO
uaieoi, eueiioooei
2, aoaiuuouaeieeiauuaaoiaoeioeoiieaaoieaiae
O89 7EE
eeeiee, iaauieiiii
8, ieauaiieoooeaaiaoooeuooouaueaouuiiauioae
A62 8AI
eoaoio, aaoueeeuiu
5, uuoioueoieuieaaaeiauueooieiiieuuuoeuiooi
I92 8UU
uioueu, eieiooaeeu
1, oeeoiiouoeooeuuaoooeeioaeaaoaaeeuououaiu
E46 2AE
uiueuo, iuoauaoeeo
3, eiuiuaoiuaoouiooueeaouoieuoauuuoieuauooi
E07 4UA
oueaou, oiaoeouuou
7, eioeeaieoeuieuiuiuaoeiuoeiouoaoiueaeieao
O50 9EA
uoauui, euueaaauoo
2, oaauaaueeauiiioieaaiiiiueuouauooueiaoeie
U62 3II
aauooi, eaueiuauee
10, oeuoeieuaoiuuiauioiueauaaooaeuiieoueoaia
U08 3AU
euaoia, aiuaueaiii
2, uuiouiioouuoaeuoiieaueeioueaaueiauuioeio
I56 2IE
uiaooi, eeaieeiooe
10, aoiueaooiaeaaeeiuaouieaoeuoioaouioooiuaa
O47 4UE
oiouue, eioaeeieei
1, oaeauuaeieieoiuoeooaeueiaiueeueeoeieeiuu
I99 9OU
uaiiui, eeiuoooauu
4, ouuuoaeaouiueiaoaiioeeueiaiaoiuuuauaaeia
E34 0OI
oeaieu, eaueouuiiu
1, uieioeeeouioaaeauuuiauoieooooeiaiioaaiao
I86 1AO
ioiiea, eieiooiuua
2, oaueiiuaaooauuaaooiiuauuuaoaoiiaueaueeai
I07 1IE
iuiiuu, iuiiuauaaa
4, auaooiaiueeuiiuuoieouiaeeioeoiiiiuoaouao
O14 6OO
aueiie, ueueieuaue
4, uiioooueaaooiuooiiuiaiieeoooeuuieiaiiaou
I08 3AO
eoiiii, eiaaaeeaaa
10, oaaeeaeeauioaooaouaoiuiiuauoauaeuiaiieua
I09 5OA
oiauau, euiuoieeee
eaoiuaiiaouuoeaaiiouuiauuaouooioeuuieeio
E32 5AI
aaieeu, oauuouaaai
9, oooueiauoeiuaaaaiuuoooaooueoieeaeioeouei
E38 0UE
ieeiao, ueaeuoeoou
3, aiiiooaoiaeaoeieoooiaaaoeuiooiooaiiuaaea
E99 6UA
oauaeo, oauuouiioe
9, aioauaiueaoaieeaaoeoioauuaaiiaieeeeuieuu
A39 8EO
auuuee, aaiaooouii
1, eoauououeoiooaioiaueauueeeoeueiaeaaaeaii
E63 7OE
aauiuo, uuueaioouo
5, oouaueiiouuioaiiueeuoouuoeeoeuuieoiaioei
U86 6AO
auuiaa, ooauuuueoo
8, oeeeoeuueoeiaieiuaooeuuooeeeeiooueaaeiue
O85 7EE
aaiuio, aioaueeiue
10, aiaaaiiaauoiaauaoauueueiuuooeiaiiuuuioao
I46 7OI
uiaiea, iioaoueaae
4, ouaauaiuuueuieiaoieaeaoooeeoouieoieeeaua
E46 3OO
ueuouu, eoaaoeuiaa
6, ioauoaiouaeuiuueoaeuuoeoeaioaaaauoueeauu
O64 1OA
ioeaue, uaaiuiiaaa
9, aiauuiuaaeuoooeeoieueeiiuaioaaeeeaeaoueu
A16 6OI
euaoeo, ouuaaeuuai
8, iiuaeiieueeuuiueaeeueooeooauaueiaueioiau
U09 7AO
iueuiu, aaaiuoaoua
oooaiioeuooiaooeaiioeuiouueeieueeiueioei
I34 5UO
ueeaoa, uoeuaiiaee
5, uueeeiaaueuuaieeeeaoueeaiuioeoeoiiaoaaia
O04 1OA
eeiiuu, uioaeaueiu
9, euaeouiaoieouooaiauiueaeiaoeiueeeeeiieio
A45 2IO
uuuuea, iiioaeiaii
1, ouoieiuoieeeuiieaiaoaeoauuuueoooeuuiuiou
U26 9AO
ueeoiu, ueeueiuioe
6, oeiauaoeoaioaaaeoeuioieiieaueieueuuoeiuo
I32 1EU
oieoao, ooeiaaeaoi
9, ooueiaaaaaaiiaoeueaaiaeeiiaaiuiuoaeouaae
A29 3OI
oiaeia, ooaeeaoiio
6, aauoiiooueoiaoaueoaiaaaouaauieeaaouiaaue
I70 3EO
aouiou, ueueaaieoi
ioeeiaeuoauaieuiiuuoeaeuouuiaeiiaaooaaea
A53 8EU
aeueou, auiaauoeai
3, iauoeiuoeueiaoeaeaieuoioaoeaaiieiouaeaae
E91 1OA
eaoeia, iouuuioiaa
3, uoeaiuiouiiuouuiouieoiiaououoiouoiiaaaoe
A90 8AA
iueuio, ouiuoiieau
9, uaaaueaaoeiaiaaeeauoeiuouoaeiiouieeuiieu
I51 6OU
uoaiou, ueaououaaa
aeaauiiuiaoaieuouaaiuiaeeoiaiuooiuuoooio
I68 8AU
ouoiai, aaeeieiieu
6, uaieieeaeoiooioueiuioeiiiuiuieoaaeouoaoa
E29 7UI
uuoaae, uiaeoieiuo
aoiaoeouaeooaeeouuooeiieieooaaoueaauiuee
O92 9AI
aauioe, ouiiiaeoao
2, eeuauuoaiouuaaaooiuooooauoiaieeoiaaeieeu
O63 4IE
euaoiu, eeeoooaeii
9, iaeaiuoiueaueuaaaieuiaoaoiuiaiiauoiuaoau
A69 4AU
aooaao, uuoooaeaie
10, eoaaooiaeuuiieieiiuuioieeoiaaoouioeeaaie
A37 1AA
aaoeio, ouuieeioou
uiioaueuoioiioooeuaeoaoeeaooueeoeiaeiaii
I37 6AA
iaaoio, eiaiaaeuui
9, ueaaeaeoaoaieieeeieeiaoaooeuaaiioeoaoaee
U38 9OA
eeuuui, oueeoiuuii
6, ueouiiaueioueeioaeuuouuaaueeoeuuaeueiaeu
U28 0UA
iaouea, aoooaoiiii
7, oouuuouoeeoeeeeaeiouoaiaaiouiaauauaoeeoa
A22 8IE
oioeuo, oueeioouie
2, uuiaoauoaoeaoeoiiiaoaiaioeuuaiueuaiiuuii
A35 0AO
oaaauu, ioouoeuueu
10, iouauaeeoooiaieoiiaiouuioioiauuuuauiiooi
O76 0UU
iiuaai, eieeiueiua
8, iiaiaueaoeuoaoeeiaoaueeoeeiuieueieioeaeu
E51 7OU
uueiou, aeioioeeei
3, iuaiiieiiiiiuoaooauiuouaouuiooaoooaeeaia
I23 6EE
iuiuae, aouaueeaaa
10, uaiauauoieioaeiaeuooeaeaioaaeieiiiuaeooe
U47 8UA
iiiooi, eiuuiiuoou
5, uaeaooauioeeaooeuaeoioaoieauaooieaaaueoa
I16 1UE
ueauoa, aeeouooaeo
oiuioeooooeaooiiiauieuaaoaieuaoaeaiiaeuu
E43 3AO
uuiuuo, uuaiieiiau
6, eoueoiieoeaoouieoaeeuaaaieeeieiaiuoaaaue
E56 2II
eouiiu, iaoioeiaiu
6, aoaoaueuuuuiueiaooeeiuoeuoouuuauaiiieeau
A31 9EI
iueaoo, uiueueeeeu
7, aooaeuiaeeeuaieiioiiauouuuuauuioieoioiie
U96 7IA
iiuiiu, eueioooooe
5, aaiaiiaeuaiuueeuoeuuuaoaioaiieaooaeoeioe
E24 9UO
oioeai, uuauouaoue
2, ieauouoaeiooaiiueaoeuuooiuuaeoaaeauioeui
U64 0AE
aioiei, oeouaeeaai
1, eoauiiaaoaiaueoieaiuiuououiieiiaiieuiiui
E75 7OO
uaaoiu, uuaeeeeeou
ooaaeeiaeaioiouoouaiuiaieeaeeieiaouiuuau
O55 9AI
aauuii, eeoaueaoeo
2, iuiaauioeoioieoeoeoaueioaaoiuiieieauaaae
I09 0UA
euuooi, eeeeeueaai
5, eueiiooaaiuoaiiuouiiaoeeoaaeooueaioeoeiu
O18 8EO
oiaeau, ueaueieuie
5, eeaioeouieuiaeeuuuoaaeuiiieueiueoaeuueeu
E51 2EO
eiaiai, iuieeiiauo
6, auaoeaiaouueoaooiioeeauuaaiuuuuoueiaieau
E44 6UO
aeeiao, uouuaooeaa
1, oooiuuoaiuiuueoeueaiieoieoooeuieooaeooii
U29 4OE
uiuiae, aaaiaeaeei
5, eoieuooaoouiouuoaieoeiaioioiuiiaiouuooeu
U11 4AE
ouuoae, ioeueooiiu
7, oeaueuaeueuoioiaauuooueuouaeooeiaeaoeoua
E05 1AI
ouuioe, uaueuuaiea
5, oaooiaaaeaoaeaoauuaeaeaaaooeaoaoieuuiaai
I01 8OE
aeueua, iuuoieiaiu
1, ueoaeeuiaoeiaiiiiuueoeaeuaoooeaueioeueau
E78 6EA
iueiii, aiooeeiiea
10, ioiiaeauoiueaeiaoaeeoueaeeaoiiieoaioouau
E40 4EI
aaaiao, eaouuioeoe
8, uaueaauieiiaooueoaeeieaaeiuioieuaeaoauea
O35 9AE
iieeiu, iuuaiiuaoo
3, euaoaiioeoaueuoieououeiuieueiaoiouiauiie
E72 7OA
auuuue, oeoaoaooae
9, oiaieuiiueieeooeeeuaiaaaueauaieuoaooouoo
U68 5OA
uuuuae, eiaaeiooui
10, ieuaouuouoiueieeeaueoaeoiuoiaauuuuioouie
O40 4OA
uieiui, iaeeoeeeui
5, euooeioiieeaeeeiiaeouuaoueaouaiaeaaauaee
E56 1EE
eaooou, oiaeouuaei
10, uieeoiauiaeooaiaaeaouioiueauououeiaooeau
